2020-06-10 20:14:22,"b'I do not know what to say. If I did know what to say I\xe2\x80\x99d be afraid to say it. First Corona, then Gates vaccines, Fa\xe2\x80\xa6 https://t.co/6A3W9FLyhL'"
2020-06-10 20:21:30,b'A preview of the next corona hot-spots: https://t.co/F33RTpdzxe'
2020-06-10 18:19:23,b'Spoke to #Telangana health minister @Eatala_Rajender ji  reg #COVID19 #update\nHyderabad remains the epicentre &amp; adj\xe2\x80\xa6 https://t.co/2LiXw0lCyB'
2020-06-10 18:02:22,"b""@ZaidZamanHamid's account has been withheld in India in response to a legal demand. Learn more."""
2020-06-10 18:23:05,b'Trump Announces Rallies &amp; Corona Scare Stories Start Up Again...Coincidence?\n\nWatch the whole show here:\xe2\x80\xa6 https://t.co/aNzqtzSU4B'
2020-06-10 20:23:10,b'10 June 2020 South Africa statistics on #COVID19 #CoronaVirusSA #CoronaVirusUpdate #Corona https://t.co/o04iXjpA0O'
2020-06-10 21:13:35,"b'By recovering from Corona, Allah has given you life again, then plz donate ur plasma so that you can become a means\xe2\x80\xa6 https://t.co/BXUYARkxyw'"
2020-06-10 20:55:24,"b""#BREAKING LA Police Commission unanimously adopts police chief's recommendation to find that an off-duty LAPD offic\xe2\x80\xa6 https://t.co/ATH8ZpWZkJ"""
2020-06-10 20:20:41,b'Number of confirmed COVID-19 cases in South Africa is\n55 421. 998 400 tests have been conducted. There are 48\xe2\x80\xa6 https://t.co/pmqpL6FCid'
2020-06-10 18:15:19,"b'There will not be a pre-order, will be first come first serve at launch, and we have limited quantities of the box\xe2\x80\xa6 https://t.co/Er91LcpYd0'"
2020-06-10 20:54:08,"b""You don't just turn, whip a ball blindly and expect to score.\n\nMexico and Porto's Tecatito Corona: \n\n(via\xe2\x80\xa6 https://t.co/GletI9g6ZG"""
2020-06-10 20:24:22,"b'We said on March 13 that the country\'s borders should be closed to control the spread of the coronavirus ""but no on\xe2\x80\xa6 https://t.co/Zi6xLfYoY6'"
2020-06-10 20:47:34,b'Generals addressing their commander of the Kajiado corona battalion https://t.co/oFcRvWXsZU'
2020-06-18 08:56:56,"b'If the NHS will to support it, I could roll out the German Corona-Warn-App (privacy respecting, official diagnosis\xe2\x80\xa6 https://t.co/9hMSc1qUKg'"
2020-06-17 11:55:08,b'Dear national media: how strange that there are growing fears of Chinese Corona in Tulsa but no lawsuits or panic i\xe2\x80\xa6 https://t.co/PiIbVEqfzG'
2020-06-17 19:02:57,b'Big Pharma whistleblower: \xe2\x80\x9897% of corona vaccine recipients will become infertile\xe2\x80\x99 https://t.co/ITOKuaLU9M'
2020-06-17 17:14:41,b'But can\xe2\x80\x99t figure out the corona virus? Mane gone somewhere. https://t.co/r2oggMp1vs'
2020-06-18 11:59:00,"b'Trump is right: If we stop testing, we\xe2\x80\x99ll have fewer cases of corona. Just like if Black people stop recording cops\xe2\x80\xa6 https://t.co/prpujgqmiV'"
2020-06-17 15:19:30,b'Have you ever wondered what Corona Virus testing in sport looks like...bet you don\xe2\x80\x99t want to know what it feels lik\xe2\x80\xa6 https://t.co/3GFGFYeb3x'
2020-06-18 16:01:41,b'Railways beautifies Mahim station with the \xe2\x80\x98Heroes of Mumbai\xe2\x80\x99 murals as an ode to the Corona Warriors. https://t.co/PYmOgyOR5F'
